food_name,caff_per_mg,serving_size,url,img_url
One a Day Energy,90,per tablet,https://www.caffeineinformer.com//caffeine-content/one-a-day-energy,https://cdn.caffeineinformer.com/wp-content/caffeine/one-a-day-energy.jpg
One a Day Womens Active Metabolism,120,per tablet,https://www.caffeineinformer.com//caffeine-content/one-a-day-womens,https://cdn.caffeineinformer.com/wp-content/caffeine/one-a-day-womens.jpg
OptiMind Energy Supplement,75,per capsule,https://www.caffeineinformer.com//caffeine-content/optimind,https://cdn.caffeineinformer.com/wp-content/caffeine/optimind.jpg
Oreo Cookies,1,per cookie,https://www.caffeineinformer.com//caffeine-content/oreo-cookies,https://cdn.caffeineinformer.com/wp-content/caffeine/oreo-cookies.jpg
Penguin Mints,7,per mint,https://www.caffeineinformer.com//caffeine-content/penguin-mints,https://cdn.caffeineinformer.com/wp-content/caffeine/penguin-mints.jpg
Perky Jerky,0,per ounce,https://www.caffeineinformer.com//caffeine-content/perky-jerky,https://cdn.caffeineinformer.com/wp-content/caffeine/perky-jerky.jpg
Pic Me Up,200,per tablet,https://www.caffeineinformer.com//caffeine-content/pic-me-up-energy-pills,https://cdn.caffeineinformer.com/wp-content/caffeine/pic-me-up-energy-pills.jpg
Plow On Gum,100,per piece,https://www.caffeineinformer.com//caffeine-content/plow-on-energy-gum,https://cdn.caffeineinformer.com/wp-content/caffeine/plow-on-energy-gum.jpg
Prolab Caffeine Supplement,200,per tablet,https://www.caffeineinformer.com//caffeine-content/prolab-caffeine-pills,https://cdn.caffeineinformer.com/wp-content/caffeine/prolab-caffeine-pills.jpg
ProPlus Caffeine tablets,50,per tablet,https://www.caffeineinformer.com//caffeine-content/pro-plus-caffeine,https://cdn.caffeineinformer.com/wp-content/caffeine/pro-plus-caffeine.jpg
Punch'd Energy Gummies,100,per pack,https://www.caffeineinformer.com//caffeine-content/punchd-gummies,https://cdn.caffeineinformer.com/wp-content/caffeine/punchd-gummies.jpg
Pure Caffeine Powder,4706,per teaspoon,https://www.caffeineinformer.com//caffeine-content/caffeine-powder,https://cdn.caffeineinformer.com/wp-content/caffeine/caffeine-powder.jpg
Raging Bull,80,per piece,https://www.caffeineinformer.com//caffeine-content/raging-bull-energy-candy,https://cdn.caffeineinformer.com/wp-content/caffeine/raging-bull-energy-candy.jpg
Rally Energy Mints,60,per mint,https://www.caffeineinformer.com//caffeine-content/rally-caffeinated-mints,https://cdn.caffeineinformer.com/wp-content/caffeine/rally-caffeinated-mints.jpg
Razorwire Energy Capsules,112,per capsule,https://www.caffeineinformer.com//caffeine-content/razorwire,https://cdn.caffeineinformer.com/wp-content/caffeine/razorwire.jpg
Red Chinese Super Cap,200,per capsule,https://www.caffeineinformer.com//caffeine-content/red-chinese-super-cap-energy-pills,https://cdn.caffeineinformer.com/wp-content/caffeine/red-chinese-super-cap-energy-pills.jpg
Redline Gel Caps,97,per capsule,https://www.caffeineinformer.com//caffeine-content/redline-caps,https://cdn.caffeineinformer.com/wp-content/caffeine/redline-caps.jpg
Reese's Peanut Butter Cups,4,per peanut butter cup,https://www.caffeineinformer.com//caffeine-content/reeses,https://cdn.caffeineinformer.com/wp-content/caffeine/reeses.jpg
Rite Aid Stay Awake,100,per tablet,https://www.caffeineinformer.com//caffeine-content/rite-aid-stay-awake,https://cdn.caffeineinformer.com/wp-content/caffeine/rite-aid-stay-awake.jpg
Ritual Energy Bars,100,per bar,https://www.caffeineinformer.com//caffeine-content/ritual-energy,https://cdn.caffeineinformer.com/wp-content/caffeine/ritual-energy.jpg
Rocket Chocolates,42,per piece,https://www.caffeineinformer.com//caffeine-content/rocket-chocolate,https://cdn.caffeineinformer.com/wp-content/caffeine/rocket-chocolate.jpg
Run Gum Energy,50,per piece,https://www.caffeineinformer.com//caffeine-content/run-gum,https://cdn.caffeineinformer.com/wp-content/caffeine/run-gum.jpg
Sprayable Energy,100,per dose,https://www.caffeineinformer.com//caffeine-content/sprayable-caffeine,https://cdn.caffeineinformer.com/wp-content/caffeine/sprayable-caffeine.jpg
Starbucks Coffee Ice Cream,60,per cup (8oz),https://www.caffeineinformer.com//caffeine-content/classic-coffee,https://cdn.caffeineinformer.com/wp-content/caffeine/classic-coffee.jpg
Starbucks Frappuccino Bar,30,per bar,https://www.caffeineinformer.com//caffeine-content/frappucino-bar,https://cdn.caffeineinformer.com/wp-content/caffeine/frappucino-bar.jpg
Steem Caffeinated Peanut Butter,75,per tablespoons,https://www.caffeineinformer.com//caffeine-content/steem,https://cdn.caffeineinformer.com/wp-content/caffeine/steem.jpg
Superfast Energy Gum,50,per piece,https://www.caffeineinformer.com//caffeine-content/superfast-gum,https://cdn.caffeineinformer.com/wp-content/caffeine/superfast-gum.jpg
Tea Leaf Salad,198,per salad,https://www.caffeineinformer.com//caffeine-content/laphet,https://cdn.caffeineinformer.com/wp-content/caffeine/laphet.jpg
Turbo Snort Energy Nasal Spray,1,per spray,https://www.caffeineinformer.com//caffeine-content/turbo-snort-energy-nasal-spray,https://cdn.caffeineinformer.com/wp-content/caffeine/turbo-snort-energy-nasal-spray.jpg
Turbo Truffles,150,per truffle,https://www.caffeineinformer.com//caffeine-content/turbo-truffle,https://cdn.caffeineinformer.com/wp-content/caffeine/turbo-truffle.jpg
UPTime Energy Tablets,66,per tablet,https://www.caffeineinformer.com//caffeine-content/uptime-tablets,https://cdn.caffeineinformer.com/wp-content/caffeine/uptime-tablets.jpg
Used Coffee Grounds,41,per 7 grams,https://www.caffeineinformer.com//caffeine-content/coffee-grounds,https://cdn.caffeineinformer.com/wp-content/caffeine/coffee-grounds.jpg
Vibe Energy Gum,40,per piece,https://www.caffeineinformer.com//caffeine-content/vibe-energy-gum,https://cdn.caffeineinformer.com/wp-content/caffeine/vibe-energy-gum.jpg
Viter Energy Mints,40,per mint,https://www.caffeineinformer.com//caffeine-content/viter-mints,https://cdn.caffeineinformer.com/wp-content/caffeine/viter-mints.jpg
Vivarin,200,per pill,https://www.caffeineinformer.com//caffeine-content/vivarin,https://cdn.caffeineinformer.com/wp-content/caffeine/vivarin.jpg
Voke Chewable Tabs,77,per tablet,https://www.caffeineinformer.com//caffeine-content/voke,https://cdn.caffeineinformer.com/wp-content/caffeine/voke.jpg
White Chocolate,0,per bar,https://www.caffeineinformer.com//caffeine-content/white-chocolate,https://cdn.caffeineinformer.com/wp-content/caffeine/white-chocolate.jpg
X8 Energy Gum,50,per piece,https://www.caffeineinformer.com//caffeine-content/x8-energy-gum,https://cdn.caffeineinformer.com/wp-content/caffeine/x8-energy-gum.jpg
Zoom Energy Pills,100,per pill,https://www.caffeineinformer.com//caffeine-content/zoom-energy-pills,https://cdn.caffeineinformer.com/wp-content/caffeine/zoom-energy-pills.jpg
